name,album,popularity,artist,release_date,length,album_art,album_type,duration_ms,explicit,preview_url,track_no,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,Song URL,Own_Song?,Length_s,Right_Field_1,id,small_album_art,Right_ActualURL,Artist_Name,Collaborator
Oya Gbeff (feat. Olamide),Oya Gbeff (feat. Olamide),9,Davolee,11/10/2017,184502,https://i.scdn.co/image/a7256f8e0886649a54035cdba70c12599eb9f146,single,184502,TRUE,https://p.scdn.co/mp3-preview/096e232387e1be8bad11196a9c779d236aa17e14?cid=b50ee957f7824fa5806358e8fe3a1598,1,0.663,0.479,0.823,0,0.33,-3.864,0.452,110.308,3,0.934,https://open.spotify.com/track/3rorvao0mcgZrogWwWMtAx,No,184.502,30,3e7XFg6gmeD1a2SR5PPy1V,https://i.scdn.co/image/5ad0cefa1876eab3fb4d17958553a3b25e1951ec,https://open.spotify.com/album/3e7XFg6gmeD1a2SR5PPy1V,Olamide,Davolee
People Talk A Lot,People Talk A Lot,2,DJ Enimoney,10/31/2016,246923,https://i.scdn.co/image/bb38328f8d584a915e6f4b2b8a795b499864cd03,single,246923,FALSE,https://p.scdn.co/mp3-preview/561b3b8145551b64e9a180249e4794b070ba1418?cid=b50ee957f7824fa5806358e8fe3a1598,1,0.577,0.0992,0.729,0,0.196,-3.516,0.445,129.718,4,0.694,https://open.spotify.com/track/0cPRQrH0eJuoJOfx5QBwdX,No,246.923,22,1yLiUW4P0eHojeHe1gUmsq,https://i.scdn.co/image/1dc4fe1da80c4aba3aa50624f371f98b88a0d728,https://open.spotify.com/album/1yLiUW4P0eHojeHe1gUmsq,Olamide,DJ Enimoney
Pesin,Pesin,18,Limerick,2/14/2018,237766,https://i.scdn.co/image/b898e5f8ef96e2cad9a98f276776d69d87455b10,single,237766,TRUE,https://p.scdn.co/mp3-preview/baa6c9e10dd78dff6e0dd51c82c0101635a60814?cid=b50ee957f7824fa5806358e8fe3a1598,1,0.822,0.14,0.69,0,0.0787,-8.229,0.358,105.014,4,0.801,https://open.spotify.com/track/6pp9oWyqSvmsrCmHfLvLcZ,No,237.766,37,5P4668kSWwYyPttxMloD63,https://i.scdn.co/image/332ab931bfa55d9e0eaa716514d065511be6e519,https://open.spotify.com/album/5P4668kSWwYyPttxMloD63,Olamide,Limerick
Poverty Die,Poverty Die,35,Olamide,11/29/2018,189739,https://i.scdn.co/image/b650f4d146913c3f9d56ac40f3715abb3242d0b9,single,189739,TRUE,https://p.scdn.co/mp3-preview/dfdeafd27fff220ba7ad5de4de6d831b96a3b02a?cid=b50ee957f7824fa5806358e8fe3a1598,1,0.57,0.0758,0.781,0.0188,0.383,-5.319,0.142,86.215,4,0.95,https://open.spotify.com/track/6HazU0wxDMKN8LJS6704qe,Yes,189.739,17,3W6gj6OQ7ggwgvkYDj8WI0,https://i.scdn.co/image/304e53fb313fc0996f97f0e4183a3b5b089e81d6,https://open.spotify.com/album/3W6gj6OQ7ggwgvkYDj8WI0,Olamide,None
P-Popping,P-Popping,17,Viktoh,4/25/2018,199080,https://i.scdn.co/image/a752c7fe2f8820466ec67e18de4d4de20900e761,single,199080,FALSE,https://p.scdn.co/mp3-preview/41e97587284ab9c1cb03b66d1c78982ee1732c0f?cid=b50ee957f7824fa5806358e8fe3a1598,1,0.658,0.0138,0.598,0.00314,0.0668,-7.116,0.0917,77.223,4,0.799,https://open.spotify.com/track/2Jb1bLVsttu6SKQx2d815e,No,199.08,0,6fRIzEVLLc98ur1k1LHYoY,https://i.scdn.co/image/720affa04965f91630ded581ac471fb89ae0f19e,https://open.spotify.com/album/6fRIzEVLLc98ur1k1LHYoY,Olamide,Viktoh
Puna (Freestyle),Puna (Freestyle),28,Olamide,8/10/2018,172026,https://i.scdn.co/image/06e3b9f6021663fdcfcedaaefd12a652bec64cac,single,172026,TRUE,https://p.scdn.co/mp3-preview/99e075f15118e74f06a0a81b6732550363359c49?cid=b50ee957f7824fa5806358e8fe3a1598,1,0.903,0.17,0.807,0.000188,0.13,-7.014,0.22,119.987,4,0.633,https://open.spotify.com/track/5NxhefcpbBRlptyL1COS2D,Yes,172.026,26,1G9HpfzK3tmVWkgoCMZFhQ,https://i.scdn.co/image/76d5e231a2d96d0dd5be407bfac15139fe2a3900,https://open.spotify.com/album/1G9HpfzK3tmVWkgoCMZFhQ,Olamide,None
Indomie,Quality,22,CDQ,8/22/2016,261067,https://i.scdn.co/image/35d1d6e41a0dd6daef9d4bc1ad07ee47728439dd,album,261067,FALSE,https://p.scdn.co/mp3-preview/3417506490f4a71b61adfac0a1a6ed2a7112e814?cid=b50ee957f7824fa5806358e8fe3a1598,16,0.599,0.118,0.764,0,0.0614,-4.117,0.293,127.496,4,0.407,https://open.spotify.com/track/4Pc6lexQXoDeExGFhpgg6g,No,261.067,39,69FAZuj9OPgbrjhqbPGoM1,https://i.scdn.co/image/6049440c244b359ddf1a35a77ad0672286757fa5,https://open.spotify.com/album/69FAZuj9OPgbrjhqbPGoM1,Olamide,CDQ
Standing Ovation (feat. Olamide),R.E.D (Deluxe Edition),28,Tiwa Savage,2/23/2016,190560,https://i.scdn.co/image/138967fa76f477e5ba4db65e51a15a063b5dac55,album,190560,FALSE,https://p.scdn.co/mp3-preview/d82f583f4e80739975d8b03b95d36aa039c3bd04?cid=b50ee957f7824fa5806358e8fe3a1598,3,0.863,0.00538,0.841,2.72E-06,0.0626,-3.411,0.0457,122.961,4,0.906,https://open.spotify.com/track/7h5cpfaaIhVzRHyyXbB1UQ,No,190.56,2,3polegKno5Ct6CbK1gDPOe,https://i.scdn.co/image/52fecd99cca052e5d0020fe21fd05c2288de7218,https://open.spotify.com/album/3polegKno5Ct6CbK1gDPOe,Olamide,Tiwa Savage
Read My Lips (feat. Olamide),Read My Lips (feat. Olamide),0,Lamboginny,9/6/2017,210330,https://i.scdn.co/image/ed37e9fb209c392e0c8d2936c1c09bde131d4b7f,single,210330,FALSE,https://p.scdn.co/mp3-preview/c77034d79fcc50ff655e3798ab960d2e9cf6a24e?cid=b50ee957f7824fa5806358e8fe3a1598,1,0.904,0.254,0.876,0,0.0635,-3.026,0.125,112.005,4,0.974,https://open.spotify.com/track/2rfVsJ4z2FcR0jZqx4wXiX,No,210.33,38,43wOYeT919tLMcbGBkYuf3,https://i.scdn.co/image/1b703c67dfdf43b5c43c71e2d716b437eb055783,https://open.spotify.com/album/43wOYeT919tLMcbGBkYuf3,Olamide,Lamboginny
"Reggae Blues (feat. Olamide, Kcee, Orezi & Iyanya)","Reggae Blues (feat. Olamide, Kcee, Orezi & Iyanya)",34,HarrySong,8/16/2015,289149,https://i.scdn.co/image/bffec0a6c0681a603bef284cd053b5c638f3d9da,single,289149,FALSE,https://p.scdn.co/mp3-preview/c00382f32515ddf5f880419cb2438dc15aafa6af?cid=b50ee957f7824fa5806358e8fe3a1598,1,0.84,0.237,0.861,0.0013,0.0721,-1.96,0.0734,94.502,3,0.899,https://open.spotify.com/track/1ms4BYgJtafw2ZMajZUrqF,No,289.149,25,20n700jMHGyw9GGpK51G72,https://i.scdn.co/image/95f23c57c251f55799820628ef78dc1289191369,https://open.spotify.com/album/20n700jMHGyw9GGpK51G72,Olamide,HarrySong
